D,R
0,0.13
0.5,0.13
1,0.026
1.5,0.026
2,0.013
2.5,0.013
3,0.0065
3.5,0.0065
4,0.00325
4.5,0.00325
5,0.001625
5.5,0.001625
6,0.0008125
6.5,0.0008125
7,0.00040625
7.5,0.00040625
8,0.000203125
8.5,0.000203125
9,0.000101563
9.5,0.000101563
10,5.07813E-05
10.5,5.07813E-05
11,2.53906E-05
11.5,2.53906E-05
12,1.26953E-05
12.5,1.26953E-05
13,6.34766E-06
13.5,6.34766E-06
14,3.17383E-06
14.5,3.17383E-06
15,1.58691E-06
15.5,1.58691E-06
16,7.93457E-07
16.5,7.93457E-07
17,3.96729E-07
17.5,3.96729E-07
18,1.98364E-07
18.5,1.98364E-07
19,9.91821E-08
19.5,9.91821E-08
20,4.95911E-08
20.5,4.95911E-08
21,2.47955E-08
21.5,2.47955E-08
22,1.23978E-08
22.5,1.23978E-08
23,6.19888E-09
23.5,6.19888E-09
24,3.09944E-09
24.5,3.09944E-09
25,1.54972E-09
25.5,1.54972E-09
26,7.7486E-10
26.5,7.7486E-10
27,3.8743E-10
27.5,3.8743E-10
28,1.93715E-10
28.5,1.93715E-10
29,9.68575E-11
29.5,9.68575E-11
30,4.84288E-11
30.5,4.84288E-11
31,2.42144E-11
31.5,2.42144E-11
32,1.21072E-11
32.5,1.21072E-11
33,6.0536E-12
33.5,6.0536E-12
34,3.0268E-12
34.5,3.0268E-12
35,1.5134E-12
35.5,1.5134E-12
36,7.567E-13
36.5,7.567E-13
37,3.7835E-13
37.5,3.7835E-13
38,1.89175E-13
38.5,1.89175E-13
39,9.45874E-14
39.5,9.45874E-14
40,4.72937E-14
40.5,4.72937E-14
41,2.36469E-14
41.5,2.36469E-14
42,1.18234E-14
42.5,1.18234E-14
43,5.91172E-15
43.5,5.91172E-15
44,2.95586E-15
44.5,2.95586E-15
45,1.47793E-15
45.5,1.47793E-15
46,7.38964E-16
46.5,7.38964E-16
47,3.69482E-16
47.5,3.69482E-16
48,1.84741E-16
48.5,1.84741E-16
49,9.23706E-17
49.5,9.23706E-17
50,4.61853E-17
50.5,4.61853E-17
51,2.30926E-17
51.5,2.30926E-17
52,1.15463E-17
52.5,1.15463E-17
53,5.77316E-18
53.5,5.77316E-18
54,2.88658E-18
54.5,2.88658E-18
55,1.44329E-18
55.5,1.44329E-18
56,7.21645E-19
56.5,7.21645E-19
57,3.60822E-19
57.5,3.60822E-19
58,1.80411E-19
58.5,1.80411E-19
59,9.02056E-20
59.5,9.02056E-20
60,4.51028E-20
60.5,4.51028E-20
61,2.25514E-20
61.5,2.25514E-20
62,1.12757E-20
62.5,1.12757E-20
63,5.63785E-21
63.5,5.63785E-21
64,2.81893E-21
64.5,2.81893E-21
65,1.40946E-21
65.5,1.40946E-21
66,7.04731E-22
66.5,7.04731E-22
67,3.52366E-22
67.5,3.52366E-22
68,1.76183E-22
68.5,1.76183E-22
69,8.80914E-23
69.5,8.80914E-23
70,4.40457E-23
70.5,4.40457E-23
71,2.20229E-23
71.5,2.20229E-23
72,1.10114E-23
72.5,1.10114E-23
73,5.50571E-24
73.5,5.50571E-24
74,2.75286E-24
74.5,2.75286E-24
75,1.37643E-24
75.5,1.37643E-24
76,6.88214E-25
76.5,6.88214E-25
77,3.44107E-25
77.5,3.44107E-25
78,1.72054E-25
78.5,1.72054E-25
79,8.60268E-26
79.5,8.60268E-26
80,4.30134E-26
80.5,4.30134E-26
81,2.15067E-26
81.5,2.15067E-26
82,1.07533E-26
82.5,1.07533E-26
83,5.37667E-27
83.5,5.37667E-27
84,2.68834E-27
84.5,2.68834E-27
85,1.34417E-27
85.5,1.34417E-27
86,6.72084E-28
86.5,6.72084E-28
87,3.36042E-28
87.5,3.36042E-28
88,1.68021E-28
88.5,1.68021E-28
89,8.40105E-29
89.5,8.40105E-29
90,4.20053E-29
90.5,4.20053E-29
91,2.10026E-29
91.5,2.10026E-29
92,1.05013E-29
92.5,1.05013E-29
93,5.25066E-30
93.5,5.25066E-30
94,2.62533E-30
94.5,2.62533E-30
95,1.31266E-30
95.5,1.31266E-30
96,6.56332E-31
96.5,6.56332E-31
97,3.28166E-31
97.5,3.28166E-31
98,1.64083E-31
98.5,1.64083E-31
99,8.20415E-32
99.5,8.20415E-32
100,4.10208E-32
